study_id,section,midterm_score,final_score,midterm_status,final_status,grade_note,synthetic_flag
ALG26-082,B,94.5,99.5,응시,응시,,1
ALG26-083,B,84.0,75.0,응시,응시,,1
ALG26-084,B,69.5,58.0,응시,응시,,1
ALG26-085,B,85.5,79.0,응시,응시,,1
ALG26-086,B,57.0,60.0,응시,응시,,1
ALG26-087,B,78.5,85.0,응시,응시,,1
ALG26-088,B,75.0,69.5,응시,응시,,1
ALG26-089,B,48.0,72.0,응시,응시,,1
ALG26-090,B,56.5,71.5,응시,응시,,1
ALG26-091,B,65.0,,응시,결시,기말고사 미응시,1
ALG26-092,B,98.0,94.5,응시,응시,,1
ALG26-093,B,64.5,61.0,응시,응시,,1
ALG26-094,B,76.5,64.0,응시,응시,,1
ALG26-095,B,49.5,56.5,응시,응시,,1
ALG26-096,B,58.5,55.5,응시,응시,,1
ALG26-097,B,74.0,72.5,응시,응시,,1
ALG26-098,B,77.5,71.0,응시,응시,,1
ALG26-099,B,62.0,54.5,응시,응시,,1
ALG26-100,B,86.5,100.0,응시,응시,,1
ALG26-101,B,78.0,70.0,응시,응시,,1
ALG26-102,B,73.5,76.5,응시,응시,,1
ALG26-103,B,59.0,59.5,응시,응시,,1
ALG26-104,B,54.5,62.0,응시,응시,,1
ALG26-105,B,62.5,74.5,응시,응시,,1
ALG26-106,B,84.0,87.0,응시,응시,,1
ALG26-107,B,89.0,62.0,응시,응시,,1
ALG26-108,B,72.5,73.0,응시,응시,,1
ALG26-109,B,89.5,87.0,응시,응시,,1
ALG26-110,B,65.5,63.5,응시,응시,,1
ALG26-111,B,55.0,65.0,응시,응시,,1
ALG26-112,B,75.5,79.5,응시,응시,,1
ALG26-113,B,83.5,76.0,응시,응시,,1
ALG26-114,B,82.0,65.5,응시,응시,,1
ALG26-115,B,73.5,65.5,응시,응시,,1
ALG26-116,B,98.0,100.0,응시,응시,,1
ALG26-117,B,56.5,81.5,응시,응시,,1
ALG26-118,B,71.5,68.0,응시,응시,,1
ALG26-119,B,77.0,,응시,중도포기,기말고사 이전 중도포기,1
ALG26-120,B,55.5,60.5,응시,응시,,1
ALG26-121,B,57.5,,응시,자료누락,성적자료 연결 불가,1
ALG26-122,B,72.5,60.0,응시,응시,,1
ALG26-123,B,61.5,71.5,응시,응시,,1
ALG26-124,B,60.0,45.5,응시,응시,,1
ALG26-125,B,91.5,100.0,응시,응시,,1
ALG26-126,B,50.5,62.0,응시,응시,,1
ALG26-127,C,86.0,95.0,응시,응시,,1
ALG26-128,C,75.0,86.5,응시,응시,,1
ALG26-129,C,67.0,66.5,응시,응시,,1
ALG26-130,C,75.5,58.5,응시,응시,,1
ALG26-131,C,60.0,70.0,응시,응시,,1
ALG26-132,C,80.0,75.0,응시,응시,,1
ALG26-133,C,76.0,61.0,응시,응시,,1
ALG26-134,C,55.0,49.5,응시,응시,,1
ALG26-135,C,50.0,65.0,응시,응시,,1
ALG26-136,C,72.0,65.0,응시,응시,,1
ALG26-137,C,61.5,66.0,응시,응시,,1
ALG26-138,C,80.5,73.5,응시,응시,,1
ALG26-139,C,73.0,72.5,응시,응시,,1
ALG26-140,C,57.0,44.0,응시,응시,,1
ALG26-141,C,90.5,81.0,응시,응시,,1
ALG26-142,C,65.0,49.0,응시,응시,,1
ALG26-143,C,73.5,76.0,응시,응시,,1
ALG26-144,C,71.0,73.0,응시,응시,,1
ALG26-145,C,76.5,69.5,응시,응시,,1
ALG26-146,C,81.0,58.0,응시,응시,,1
ALG26-147,C,81.0,97.0,응시,응시,,1
ALG26-148,C,75.5,76.5,응시,응시,,1
ALG26-149,C,81.5,86.0,응시,응시,,1
ALG26-150,C,67.5,65.0,응시,응시,,1
ALG26-151,C,66.5,56.0,응시,응시,,1
ALG26-152,C,70.0,53.5,응시,응시,,1
ALG26-153,C,70.5,73.0,응시,응시,,1
ALG26-154,C,84.0,73.0,응시,응시,,1
ALG26-155,C,74.5,86.0,응시,응시,,1
ALG26-156,C,98.0,98.0,응시,응시,,1
ALG26-157,C,69.5,65.0,응시,응시,,1
ALG26-158,C,56.0,71.5,응시,응시,,1
ALG26-159,C,61.0,58.0,응시,응시,,1
ALG26-160,C,67.0,88.0,응시,응시,,1
ALG26-161,C,68.0,61.0,응시,응시,,1
ALG26-162,C,79.0,87.0,응시,응시,,1
ALG26-163,C,83.0,67.5,응시,응시,,1
ALG26-164,C,68.0,73.5,응시,응시,,1
ALG26-165,C,63.0,72.5,응시,응시,,1
ALG26-166,C,77.5,80.0,응시,응시,,1
ALG26-167,C,56.0,87.5,응시,응시,,1
ALG26-168,C,70.0,66.0,응시,응시,,1
ALG26-169,C,53.5,60.0,응시,응시,,1
ALG26-170,C,66.0,57.5,응시,응시,,1
ALG26-171,C,63.5,58.5,응시,응시,,1
ALG26-172,C,39.5,46.0,응시,응시,,1
ALG26-173,C,66.5,71.5,응시,응시,,1
ALG26-174,C,69.5,77.5,응시,응시,,1
ALG26-175,C,59.0,67.0,응시,응시,,1
ALG26-176,C,66.5,82.5,응시,응시,,1
ALG26-177,C,77.0,81.0,응시,응시,,1
ALG26-178,C,88.5,98.5,응시,응시,,1
ALG26-179,C,75.5,73.0,응시,응시,,1
ALG26-180,C,39.0,37.0,응시,응시,,1
ALG26-181,C,66.0,67.5,응시,응시,,1
ALG26-182,C,63.0,93.0,응시,응시,,1
ALG26-183,C,50.0,56.5,응시,응시,,1
ALG26-184,C,31.5,55.5,응시,응시,,1
ALG26-185,C,58.0,61.0,응시,응시,,1
ALG26-186,C,62.5,73.0,응시,응시,,1
